Route,Route Name,Service Type,Operator,Contract ID,Contract Region,Directions,Variant Count,Minimum Distance (km),Maximum Distance (km),Average Distance (km),Data Generated Date,Source URL
759,St Marys to Mt Druitt,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,23,5.44,21.88,15.12,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
761,Mt Druitt to Bidwill via Chestnut Crescent,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,7,6.89,13.88,11.52,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
770,Mt Druitt to Penrith,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,13,21.85,23.15,22.3,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
771,Mt Druitt to St Marys via Colyton,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,9,7.66,12.1,10.98,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
772,Aerotropolis - Mt Druitt Interchange,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,2,25.98,26.32,26.15,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
774,Mt Druitt to Penrith via Nepean Hospital,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,9,14.32,22.1,20.29,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
775,Mt Druitt to Penrith via Erskine Park,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,17,9.78,28.47,23.12,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
776,Mt Druitt to Penrith via St Clair,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,16,9.78,28.01,23.86,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
779,St Marys to Erskine Park via Mamre Rd,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,2,13.27,13.35,13.31,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
780,Penrith to Mt Druitt via Christie St,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound,23,5.59,24.35,15.22,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
781,Penrith to St Marys via Orchard Hills,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,8,9.79,23.56,16.36,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
782,St Marys to Penrith,Regular,Busways R1,GSBC001,GSBC Contract 1,Inbound; Outbound,13,8.33,21.68,14.81,2026-08-28,https://opendata.transport.nsw.gov.au/data/dataset/5cc1f27a-984e-4d17-a158-c0a91fe5af5f/resource/be8727ce-4127-475e-9d27-b98fe7ddf5fc/download/bus_routes.csv
